latitude,longitude,datetime,crime_count
12.9716,77.5946,2026-01-01 09:00:00,25
12.9716,77.5946,2026-01-01 18:00:00,45
12.9716,77.5946,2026-01-01 21:00:00,70
12.9352,77.6245,2026-01-02 10:00:00,15
12.9352,77.6245,2026-01-02 19:00:00,55
12.9352,77.6245,2026-01-02 22:00:00,80
13.0068,77.5813,2026-01-03 08:00:00,10
13.0068,77.5813,2026-01-03 17:00:00,35
13.0068,77.5813,2026-01-03 23:00:00,65
12.9141,77.6411,2026-01-04 11:00:00,20
12.9141,77.6411,2026-01-04 20:00:00,60
12.9141,77.6411,2026-01-04 22:00:00,85
12.9784,77.6408,2026-01-05 12:00:00,18
12.9784,77.6408,2026-01-05 19:00:00,50
12.9784,77.6408,2026-01-05 21:00:00,75
13.0358,77.5970,2026-01-06 08:00:00,12
13.0358,77.5970,2026-01-06 18:00:00,40
13.0358,77.5970,2026-01-06 23:00:00,68
